SKOD	ARAC	KATEGORİ	ÜRÜN ADI	DURUM	AÇIKLAMA	Ü1	Ü2	Ü3	TARİH
E-CC-001	OPEL	DİZEL	ENJEKTÖR YUVASI OPEL CORSA C, COMBO C, ASTRA G, MERIVA A		817384 - 0817384 - 17384				
E-CC-002	UNIVERSAL	BÜYÜK	ENJEKTÖR ORİNGİ 19.00*2.50						
E-CC-003	UNIVERSAL	KÜÇÜK	ENJEKTÖR ORİNGİ 18.72*2,62						
E-RE-001	RENAULT - DACIA	4 DELİK ***SİYAH	ENJEKTÖR ( 4 DELİK ) RENAULT KANGOO - DACIA LOGAN, SANDERO		8200227124 - 6001548024 -	S02-035			
E-RE-002	RENAULT	2 DELİK ***MOR HALKA	ENJEKTÖR ( 2 DELİK MOR HALKA ) RENAULT MEGANE II 1.6 16V		8200132259 - 8200505191	S02-035			
E-RE-003	RENAULT	4 DELİK ***GRİ HALKA	ENJEKTÖR ( 4 DELİK ) RENAULT CLIO II, MEGANE I, SCENIC, LAGUNA		8200128959 - 8200242376	S02-035			
E-RE-004	RENAULT	2 DELİK ***PEMBE HALKA	ENJEKTÖR ( 2 DELİK PEMBE HALKA ) RENAULT CLIO II, CLIO III, R19, MEGANE		8200025248 - 8200051963 -	S02-035			
E-RE-005	RENAULT	TEK NOKTA ***PEMBE HALKA	ENJEKTÖR ( TEK NOKTA ) RENAULT R9, R19		7701035582	S02-035			
E-RE-006	RENAULT - DACIA	4 DELİK ***PEMBE HALKA	ENJEKTÖR RENAULT LAGUNA - DACIA LOGAN, SANDERO, DUSTER		8201078950 - 166009398R	S02-035			
E-RE-007	RENAULT	BENZİNLİ ***URUNCU HALKA	ENJEKTÖR CLIO KANGOO		8200128961	S02-035			
E-RE-008	RENAULT	2 DELİK ***TURUNCU HALKA	ENJEKTÖR ( 2 DELİK TURUNCU ) RENAULT LAGUNA II		8200029611	S02-035			
E-RE-009	RENAULT		ENJEKTÖR RENAULT CLIO III-IV, SYMBOL, MODUS 1.2 16V		8200292590 - 7701061008 - 0280158046	S02-035			
E-RE-010	RENAULT	4 DELİK ***YEŞİL HALKA	ENJEKTÖR ( 4 DELİK ) ***YEŞİL HALKA IWP042 RENAULT CLIO II, LAGUNA II, MEGANE II, SCENIC		8200028797 - 8200207049 -	S02-035			
E-RE-011	RENAULT - FIAT	TEK NOKTA	ENJEKTÖR ( TEK NOKTA ) RENAULT R19, CLIO - FIAT UNO		7701035320				
E-RE-012	RENAULT	2 DELİK ***YEŞİL SOKET	ENJEKTÖR ( 2 DELİK ) ***YEŞİL RENAULT MEGANE, LAGUNA		7700867867	S02-035			
E-RE-013	RENAULT DACIA		ENJEKTÖR RENAULT KANGOO II 1.6 16V DACIA DUSTER 1.6 16V LOGAN I 1.6 16V SANDERO I 1.6 16V		8201036397				19.08.2025
E-RE-014	RENAULT	2 DELİK ***MAVİ SOKET	ENJEKTÖR ( 2 DELİK ) RENAULT MEGANE I 1.6		7700866313	S02-035			
E-RE-015	RENAULT	***YEŞİL SOKETLİ	ENJEKTÖR RENAULT CLIO II, KANGOO		7700875368	S02-035			
E-RE-016	RENAULT	2 DELİK ***MAVİ HALKA	ENJEKTÖR ( 2 DELİK ) RENAULT MEGANE II 1.4 16V		8200132254	S02-035			
E-RE-017	RENAULT	4 DELİK ***TURUNCU HALKA	ENJEKTÖR ( 4 DELİK TURUNCU HALKA ) RENAULT MEGANE II, LAGUNA II 2.0 16V  IWP098		200126 8200058379	S02-035			
E-FI-001	RENAULT FORD FIAT VOLKSWAGEN		ENJEKTÖR İE  SİYAH (TEK NOKTA) SLX PALIO ESCORT CLIO GOLF		1100				19.08.2025
E-FI-002	FIAT	TEK NOKTA ***TURUNCU	ENJEKTÖR ( TURUNCU TEK NOKTA ) FIAT PALIO 1.4 8V TIPO		9947873 - 9945561 - IWM52300	S02-050			
E-FI-003	FIAT - OPEL	MPI	ENJEKTÖR (MPI) FIAT TEMPRA, TIPO - OPEL ASTRA F, ASTRA G		7778976 - 817443 - 25321516	S02-035			
E-FI-004	FIAT	6 DELİK ***TURUNCU HALKA	ENJEKTÖR ( 6 DELİK ) FIAT DOBLO, IDEA, LINEA, PUNTO, FIAT 500		77363790 - 71724545 - 71792994	S02-035			
E-FI-005	FIAT	4 DELİK ***GRİ HALKA	ENJEKTÖR  FIAT PALIO, BRAVA, MAREA 1.6 16V		7751313 - 71719037 - 200114	S02-035			
E-FI-006	FIAT	2 DELİK ***SARI HALKA	ENJEKTÖR SARI HALKA ( 2 DELİK ) FIAT BRAVO, BRAVO, PALIO, MAREA, MULTIPLA, DEDRA, DELTA, LYBRA		71718998 - 46522035 -	S02-035			
E-FI-007	FIAT	TEK NOKTA ***SİYAH	ENJEKTÖR SİYAH ( TEK NOKTA ) FIAT TOFAŞ DOĞAN, KARTAL, SLX 1.6 İE		46429476	S02-050			
E-FI-008	FIAT	2 DELİK ***MAVİ HALKA	ENJEKTÖR ( 2 DELİK ) FIAT PALIO, DOBLO		71737174 - 46759065 -	S02-035			
E-FI-009	FIAT	5 DELİK ***MAVİ HALKA	ENJEKTÖR ( 5 DELİK ) FIAT BRAVA, BRAVO, PALIO, MAREA		46759065 FJ10729-12B1	S02-035			
E-FI-010	FIAT	TEK NOKTA	ENJEKTÖR ( TEK NOKTA ) FIAT UNO 70 SX IE - TİPO 1.4		9944724				
E-FI-011	FIAT	TURUNCU SOKETLİ	ENJEKTÖR TURUNCU FIAT PALIO 1.2 8V PUNTO		7778857	S02-035			
