SKOD	ARAC	KATEGORİ	ÜRÜN ADI	DURUM	AÇIKLAMA	Ü1	Ü2	Ü3	TARİH
AB-RE-001	RENAULT		ATESLEME BOBINI ( KALEM BOBIN ) RENAULT CLIO II, CLIO III, KANGOO, LAGUNA, MEGANE, SCENIC 1.6 16V		7700107177 - 8200765882 - 224333529R	S02-031			
AB-RE-002	RENAULT		ATESLEME BOBINI ( BEYAZ SOKET ) RENAULT CLIO II, KANGOO, MEGANE I		7700100643 - 7700100543	S03-025			
AB-RE-003	RENAULT		ATESLEME BOBINI RENAULT CLIO I 1.2, CLIO II 1.1, 1.2, 2.0, KANGOO I 1.2, LAGUNA II (01-07)		7700873701 - 8200141149 - 7700872449	S04-009			
AB-RE-004	RENAULT		ATESLEME BOBINI RENAULT LAGUNA, MEGANE, R21, SCENIC I		7700872265 - 7700854306	S03-025			
AB-RE-005	RENAULT		ATESLEME BOBINI RENAULT R9, R11, R19, R21, CLIO I, ESPACE		7701031135 - 7701030273				
AB-RE-006	RENAULT		ATESLEME BOBINI ( SIYAH SOKET ) RENAULT CLIO II, KANGOO I, MEGANE I, SCENIC I		7700100589	S03-025			
AB-RE-007	RENAULT		ATESLEME BOBINI RENAULT CLIO II, KANGOO EXPRESS, KANGOO, TWINGO - 3 CIVATALI		8200025256 - 8200051128 - 8200084401	S04-014			
AB-RE-008	RENAULT NISSAN		ATEŞLEME BOBİNİ RENAULT CAPTUR-CLIO IV-V -KADJAR - DACIA DUSTER - NISSAN QASHQAI		224332935R - 22448-00Q0J	S04-024			13.12.2024
AB-RE-009	DACIA - RENAULT		ATESLEME BOBINI DACIA LOGAN, SANDERO - NISSAN KUBISTAR - RENAULT TWINGO I, II, III, CLIO		7700274008 - 6001543604 - 224336134R	S04-014			
AB-RE-010	RENAULT-DACIA		ATESLEME BOBINI RENAULT CLIO III 1.2 16V 2005>, KANGOO 1.2 16V 2001> - DACIA SANDERO		8200702693 - 8200084401 -	S04-014			
AB-RE-011	RENAULT		ATESLEME BOBINI RENAULT MEGANE I, SCENIC I		7700107269	S03-025			
AB-RE-012	RENAULT-SEAT-VOLVO		ATESLEME BOBINI ( BEYAZ SOKET ) RENAULT LAGUNA I, MEGANE I, SAFRANE II - SEAT TOLEDO II - VOLVO V40 I		7701041608 - 7700863021 -	S03-025			
AB-RE-013	RENAULT-VOLVO		ATESLEME BOBINI ( SIYAH SOKET ) RENAULT LAGUNA I, LAGUNA II, MEGANE I, SCENIC I - VOLVO V40 I		7701041607 - 7700865923 - 7700863020	S03-025			
AB-RE-014	RENAULT		ATESLEME BOBINI RENAULT CLIO I - TWINGO		7700749450 - 7700858138 -	S03-025			
AB-RE-015	RENAULT		ATESLEME BOBIN ( KALEM BOBIN ) RENAULT CAPTUR, KANGOO, CLIO IV, MEGANE III, MEGANE IV		224332428R	S03-075			
AB-RE-016	RENAULT		ATESLEME BOBINI RENAULT CLIO II 1.2 ( 01-03 ), KANGOO 1.2 16V ( 4 CIVATALI )		8200360911 - 8200702693 -	S04-014			
AB-FI-001	FIAT		ATESLEME BOBINI FIAT BRAVA I 1,6, DOBLO I, MAREA, MULTIPLA, BRAVA 1.6, PALIO, PALIO WEEKEND, SIENA		46472440 - 46446039 - 7789346	S03-025			
AB-FI-002	FIAT		ATESLEME BOBINI KARBURATORLU FIAT TOFAŞ SLX, TEMPRA, TIPO, UNO		7588435 - 7746151 - 7553120	S04-014			
AB-FI-003	FIAT		ATESLEME BOBINI FIAT TOFAŞ SLX 1.6, PALIO, SIENA, DOBLO, ALBEA 1.2 - 1.4, PANDA, PUNTO		46543562 - 46548037 -	S02-046			
AB-FI-004	FIAT		ATESLEME BOBINI FIAT LINEA, ALBEA, DOBLO 1,4 8V		55208723 - 55200112 - 55200486	S06-008			
AB-FI-005	FIAT		ATEŞLEME BOBİNİ KALEM BOBİN FIAT 500X (334) (14-) FIAT EGEA 16 (356)  (16-) FIAT EGEA 16 (356)  (16-		55242406	S03-046			
AB-FI-006	FIAT		ATESLEME BOBINI FIAT DOBLO, STILO		46777286 - 55180004 -	S03-046			
AB-FI-007	FIAT ALFA ROMEO JEEP		ATEŞLEME BOBİNİ FIAT 500X - BRAVO II - PUNTO EVO - ALFA ROMEO GILUETTA - JEEP RENEGADE		55268855	S03-046			31.10.2024
AB-FI-008	FIAT-ALFA ROMEO-CITROEN		ATESLEME BOBINI FIAT BRAVA - ALFA ROMEO 33, 145, 146, 155, 164 - CITROEN JUMPY I, II		7648797 - 60809606 -	S03-025			
