SKOD	ARAC	KATEGORİ	ÜRÜN ADI	DURUM	AÇIKLAMA	Ü1	Ü2	Ü3	TARİH
RO-RE-001	RENAULT	5 PIN 12V 40A SARI	FAN RÖLESİ ( 5 PIN 12V 40A SARI ) RENAULT CLIO II - MEGANE - KANGOO		7700844253 - 7701032100 - 7700810929	S05-031			
RO-RE-002	RENAULT-DACIA	5 PİN 12V 20/30A SİYAH	FAN RÖLESİ ( 5 PİN 12V 20/30A SİYAH ) DACIA DUSTER - RENAULT CLIO		7700414484 - 7700434883 - 0025428619				
RO-RE-003	RENAULT-DACIA	4 PİN 20A KAHVERENGİ	BENZİN RÖLESİ ( 4 PİN 20A KAHVERENGİ ) RENAULT CLIO MEGANE - DACIA LOGAN		8200263342 - 8200263345 -				
RO-RE-004	RENAULT	4 PİN 20A KAHVERENGİ	BENZİN RÖLESİ (4 PİN 20A KAHVERENGİ) RENAULT CLIO - MEGANE - DACIA LOGAN		8200263345				
RO-RE-005	RENAULT-DACIA	4 PIN 12V 70A SİYAH - 2 PIN BÜYÜK FİŞ	MİNİ RÖLE ( 4 PIN 12V 70A SİYAH ( 2 PIN BÜYÜK FİŞ ) RENAULT CLIO - MEGANE - LAGUNA - ESPACE DACIA		7700821864				
RO-RE-006	RENAULT	4 PIN 12V 60A KIRMIZI - 2 PIN ORTA BOY FİŞ	MİNİ RÖLE ( 4 PIN 12V 60A KIRMIZI ( 2 PIN ORTA BOY FİŞ ) RENAULT MEGANE I - CLIO II		8200253922 - 20240040				
RO-RE-007	RENAULT-DACIA	4 PIN 12V 70A MAVİ - 2 PIN BÜYÜK FİŞ	MİNİ RÖLE ( 4 PIN 12V 70A MAVİ 2 PIN BÜYÜK FİŞ ) RENAULT - DACIA		8200351488 - 7700067553 - 8200587121				
RO-RE-008	RENAULT	4 PIN 12V 40A PEMBE	MİNİ RÖLE ( 4 PIN 12V 40A PEMBE ) RENAULT CLIO - MEGANE - LAGUNA		8200308271 - 8200303271 - 20240041	S05-031			
RO-RE-009	RENAULT		KAPI İKAZ RÖLESİ RENAULT R9-R11 MEGANE		7700412030	S05-031			
RO-RE-010	RENAULT	4 PIN 12V 50A MOR - 2 PIN ORTA BOY FİŞ	MİNİ RÖLE ( 4 PIN 12V 50A MOR ( 2 PIN ORTA BOY FİŞ ) RENAULT MEGANE		7700810936 - 7700810933 -	S05-031			
RO-RE-011	RENAULT	ŞOK KAPTÖRÜ - KIRMIZI	DEVRE KESİCİ ( ŞOK KAPTÖRÜ ) KIRMIZI RENAULT KANGOO - CLIO - MEGANE		8200745485				
RO-RE-012	RENAULT-DACIA	10 PİN	KLİMA KONTROL RÖLESİ RENAULT KANGOO - CLIO - DACIA LOGAN 10 PİN		8200095112A	S10-012			
RO-RE-013	RENAULT-DACIA	8 PİN	KLİMA KONTROL RÖLESİ RENAULT KANGOO - CLIO - DACIA LOGAN *** 8 PİN		8200095112B	S10-012			
