SKOD	ARAC	KATEGORİ	ÜRÜN ADI	DURUM	AÇIKLAMA	Ü1	Ü2	Ü3	TARİH
S00-001		00 PİN	KABLO BIRLESTIRICI ( KUCUK BOY KIRMIZI LEHIMLI )						
S00-002		00 PİN	KABLO BIRLESTIRICI ( ORTA BOY MAVI LEHIMLI )						
S00-003		00 PİN	KABLO BIRLESTIRICI ( BUYUK BOY SARI LEHIMLI )						
S01-001	RENAULT	01 PİN	RENAULT  YAG MUSUR SOKETI SIYAHI ( 1 PIN )		1012 1K012 5767 1S011 1012 1K002				
S01-002	RENAULT	01 PİN	RENAULT     YAĞ MÜŞÜR SOKETİ BEYAZ (1 PİN)		1011 1K011 5767 1S010 1011				
S01-003	FIAT PEUGEOT OPEL	01 PİN	SUPER SEAL YAĞ MÜŞÜR SOKET FIAT OPEL PEUGEOT IVECO ( 1 PIN )		1001 1K001 5505 1S001 1001 1K001				
S01-004	FIAT PEUGEOT OPEL	01 PİN	SUPER SEAL YAĞ MÜŞÜR SOKET FIAT OPEL PEUGEOT IVECO  SOKET KARSILIGI ( 1 PIN )		1001E 1K001E 5672 1S002 1001E 1K001E				
S01-005	PEUGEOT  VOLKSWAGEN	01 PİN	PEUGEOT / VOLKSWAGEN VW YAG MUSUR SOKETI ( 1 PIN )		1005 1K005 6860C 1S007 1005 1K005				
S01-006	PEUGEOT  VOLKSWAGEN	01 PİN	PEUGEOT / VOLKSWAGEN VW YAG MUSUR SOKETI ( 1 PIN )	YENİ	1005A 1K005A 6860A 1S005				
S01-007	PEUGEOT  VOLKSWAGEN	01 PİN	PEUGEOT / VOLKSWAGEN VW YAG MUSUR SOKETI ( 1 PIN )		1004 1K004 6860B 1S006 1004 1K004				
S01-008	VOLKSWAGEN	01 PİN	VOLSKWAGEN VW MARS OTOMATIK SOKETI ( 1 PIN )		1006 1K004 6860B 1S008 1006 1K006				
S01-009	VOLKSWAGEN	01 PİN	VOLSKWAGEN VW  SOKET( 1 PIN )		1K007 1S008				
S01-010	FIAT      FORD	01 PİN	YAG MUSUR SOKETI ( 1 PIN )		1007 1K007 5282 1S004 1007 1K007				
S01-011	FIAT      FORD	01 PİN	FIAT / FORD YAG MUSUR SOKETI ( 1 PIN )		1017 1K007A 1K007A				
S01-012	RENAULT	01 PİN	JAPON /RENAULT SOKET ( 1 PIN )		1002 1K002 1S016 1002				
S01-013		01 PİN	JAPON - HONDA VURUNTU SENSÖR SOKETi ( 1 PIN )		1008 1K008 1S015 1008				
S01-014	FORD	01 PİN	DENSO SOKET UST TIRNAK ( 1 PIN )		5881 1S019				
S01-015		01 PİN	JAPON YAĞ BASINÇ SENSÖR SOKET ( 1 PIN )	YENİ	1010 1K010 5223 1S012 1010 1K010				
S01-016		01 PİN	JAPON SOKET ( 1 PIN )		1009 1K009 1S014 1009 1K009				
S01-017		01 PİN	YAG MUSUR SOKETI ( 1 PIN )		1009A 1K015 5237				
S01-018	RENAULT FIAT PEUGEOT OPEL VOLKSWAGEN  MERCEDES FORD   HYUNDAI     PMC	01 PİN	ÜNİVERSAL KIZDIRMA BUJI SOKETI GEÇMELİ TİP TÜM ARAÇLAR İÇİN ( 1 PIN )		1003 1K003 5060 1S017 1003 1K003				
S01-019		01 PİN	H1 AMPUL SOKETI ( 2 PIN )		H1 6051 HB01				
S01-020		01 PİN	JAPON TIPI SOKET (1 PİNLİ)	YENİ	1018				
S01-021		01 PİN	JAPON TIPI SOKET (1 PİNLİ)	YENİ	1013 1K013				
S02-001	RENAULT FIAT  OPEL            PMC	02 PİN	FIAT/OPEL  BOSCH  SOKET ***OEM TİPİ  **** MTA KİLİTLİ  ( 2 PIN )		2020 2K020 5506 2S045 2020 2K020				
S02-002	RENAULT FIAT  OPEL            PMC	02 PİN	FIAT/OPEL  BOSCH  SOKET ***OEM TİPİ  **** MTA KİLİTLİ  ( 2 PIN )		2020 2K020 5506 2S045 2020 2K020				
S02-003		02 PİN	JAPON PARK SİNYAL -BOSCH TIPI ENJEKTOR SOKETI ( 2 PIN )		2033 2K033 2S126 2033 2K033				
S02-004		02 PİN	JAPON PARK SİNYAL -BOSCH TIPI ENJEKTOR SOKETI ( 2 PIN )		2033C				
S02-005	RENAULT               PMC	02 PİN	RENAULT / DACİA DELPHI ENJEKTOR SOKETI ( 2 PIN )		2002 2K002 5678 2S049 2002 2K002				
S02-006	MERCEDES    HYUNDAI     PMC	02 PİN	HYUNDAİ M.BENZ DELPHI YM ENJEKTOR SOKETI ( 2 PIN )		2002A 2K002A 9698 2S050 2002A 2K002A				
S02-007	PEUGEOT  VOLKSWAGEN   FORD   HYUNDAI     PMC	02 PİN	DENSO DİZEL ENJEKTÖR & JAPON ARAÇ BENZİNLİ ENJEKTOR SOKETI ( 2 PIN ) VW HYUNDAİ TRANSİT JUMPER BOXER ****ÜST TIRNAK		2021 2K021 5547 2S046 2021 2K021				
S02-008		02 PİN	ENJEKTOR SOKETI BENZINLI ( 2 PIN ) ***ALT TIRNAK		2021A 2K021A 2S048 2021A 2K021A				
S02-009	NISSAN   MITSUBISHI	02 PİN	DENSO ENJEKTÖR SOKETİ - NISSAN - MITSUBISHI ***ÜST TIRNAK ( 2 PIN )		2089 2K077				
S02-010		02 PİN	JAPON  ENJEKTOR SOKETI ( 2 PIN )		2034 2K034 5884 2S047 2034 2K034				
S02-011	VOLKSWAGEN           PMC	02 PİN	VW T5 130 LUK PASSAT ENJEKTOR SOKETI ( 2 PIN )		5671				
S02-012	RENAULT	02 PİN	RENAULT VOLANT OKUYUCU - MANYETIK KAPTOR SOKETI MAVI ( 2 PIN )		2012M 2K012M 5099B 2S171 2012M 2K012M				
S02-013	RENAULT	02 PİN	RENAULT VOLANT OKUYUCU SİS FAR - MANYETIK KAPTOR SOKET SIYAH ( 2 PIN )		2012 2K012 5099A 2S170 2012 2K012				
S02-014	FIAT  OPEL	02 PİN	FIAT/OPEL KRANK DEVIR SENSÖRÜ + BRC ENJEKTOR SOKETI ( 2 PIN )		2026 2K026 5763 2S134 2026 2K026				
S02-015	RENAULT FIAT PEUGEOT     FORD      VOLVO  PMC KONJEKTOR	02 PİN	PEUGEOT/RENAULT SIGMA SOKET ( 2 PIN )		2005 2K005 5542 2S131 2005 2K005				
S02-016		02 PİN	SİGMA 2 Lİ SOKET *** GRİ						
S02-017		02 PİN	SİGMA 2 Lİ SOKET *** YEŞİL		2005Y				
S02-018		02 PİN	SİGMA 2 Lİ SOKET *** KAHVERENGİ						
S02-019		02 PİN	SİGMA 2 Lİ SOKET *** MAVİ						
S02-020		02 PİN	SİGMA 2 Lİ SOKET *** SARI						
S02-021		02 PİN	SİGMA 2 Lİ SOKET *** SIYAH						
S02-022		02 PİN	SİGMA 2 Lİ SOKET ** ÇERÇEVELİ / *** KAHVE		2005A 2S131				
S02-023		02 PİN	SİGMA 2 Lİ SOKET ** ÇERÇEVELİ / *** SİYAH						
S02-024		02 PİN	SİGMA 2 Lİ SOKET ** ÇERÇEVELİ / *** YEŞİL						
S02-025		02 PİN	SİGMA 2 Lİ SOKET ** ÇERÇEVELİ / *** EURO  /   *** TESİSATTAN KESME		2005B				
S02-026		02 PİN	SİGMA 2 Lİ SOKET ** ÇERÇEVELİ Y.M / *** YEŞİL		2005A				
S02-027		02 PİN	SİGMA 2 Lİ SOKET ** ÇERÇEVELİ Y.M / *** BEYAZ		2005A				
S02-028		02 PİN	SİGMA 2 Lİ SOKET ** ÇERÇEVELİ Y.M / *** KIRMIZI		2005A				
S02-029		02 PİN	SIGMA SOKET KARSILIGI ( 2 PIN )		5892				
S02-030		02 PİN	SIGMA SOKET KARSILIGI OEM ( 2 PIN )		2005E 2S132 2K005E				
S02-031	RENAULT	02 PİN	JAPON SU FISKİYE MOTORU - RENAULT KALEM BOBIN SOKETI ( 2 PIN )		2013A 2K013A 5516 2S172 2013A 2K013A				
S02-032	TOYOTA	02 PİN	TOYOTA FISKIYE MOTOR SOKETI  ( 2 PIN )		2013B 2K013B 2013B 2K013B				
S02-033	RENAULT	02 PİN	RENAULT MEGANE II DIJITAL KLIMA REZISTANS SOKETI ( 2 PIN )   ***KALIN KABLOLU		2032 2K032 2026A 2S138 2032 2K032				
S02-034	RENAULT	02 PİN	RENAULT PARK LAMBA VE KAPI SWİC -FREN MUSUR SOKETI ( 2 PIN )		2032A 2K032A 2026 2S139 2032A 2K032A				
S02-035	RENAULT FIAT  OPEL VOLKSWAGEN           PMC	02 PİN	UNIVERSAL & BENZİN ENJEKTÖR SOKETİ  ****ORJİNAL ÜRÜN ( 2 PIN )		2004 2K004 5094 2S043 2004 2K004				
S02-036		02 PİN	UNIVERSAL TELLİ SOKET KAHVERENGİ (2 PİN)		2004K				
S02-037	VOLVO	02 PİN	UNIVERSAL TELLİ ENJEKTÖR SOKETİ VOLVO ***KAHVERENGİ (2 PİN)		2004F				
S02-038		02 PİN	UNIVERSAL & BENZİN ENJEKTÖR HARARET MÜŞÜR SOKETİ ( 2 PIN )		2004FA				
S02-039		02 PİN	UNIVERSAL TELLİ SOKET GRİ (2 PİN)		2004G				
S02-040		02 PİN	UNIVERSAL TELLİ SOKET MAVİ (2 PİN)		2004M				
S02-041	PMC	02 PİN	UNIVERSAL İKİ YAYLI ERKEK  SOKET KARSILIGI ( 2 PIN )		2004E 2K004E 5689A 2S044 2004E 2K004E				
S02-042	VOLKSWAGEN  MERCEDES	02 PİN	MERCEDES / VOLKSWAGEN ENJEKTOR- SU FISKİYE MOTOR SOKETI ( 2 PIN )		2004A 2S041 2004A 2K004A				
S02-043		02 PİN	ENJEKTOR SOKETI KARSILIGI ( 2 PIN )		2K004AE				
S02-044	FORD	02 PİN	FORD SU FISKIYE MOTOR SOKETI ( 2 PIN )		2004B 2K004B 2140 2S042 2004B 2K004B				
S02-045	OPEL VOLKSWAGEN	02 PİN	OPEL VW  KORNA SOKETI ( 2 PIN )		2004C 2K004C 2048 2S039 2004C				
S02-046	RENAULT FIAT  OPEL	02 PİN	SUPER SEAL SOKET SİS FAR SOKETİ - OPEL DIŞ SICAKLIK - FİAT GERİ VİTES  ( 2 PIN )		2024 5088 2S061 2024 2K024				
S02-047		02 PİN	DELPHI TİPİ SOKET (2 PİN)		2000AB 2K000AB 2S063 2K000AB				
S02-048		02 PİN	DELPHI TİPİ SOKET (2 PİN)		2000AC				
S02-049	RENAULT FIAT  OPEL	02 PİN	SUPER SEAL SOKET *** KARSILIGI ( 2 PIN )		2024E 2K024E 5697 2024E 2K024E				
S02-050	FIAT  OPEL	02 PİN	TEK NOKTA ENJEKTOR SOKETI PALİO / SLX / CORSA ( 2 PIN )		2023 2K023 5801D 2S056 2023 2K023				
S02-051	OPEL	02 PİN	OPEL SENSOR MUSUR SOKETI ( 2 PIN )		2023B 2K023B 5801 2S059 2023B 2K023B				
S02-052	FIAT  OPEL	02 PİN	OPEL & FIAT KLIMA KOMPRESOR SOKETI ( 2 PIN )		2000A 2K000A 5801B 2S064 2000A 2K000A				
S02-053	OPEL	02 PİN	OPEL ASTRA HAVA SICAKLIK SENSOR SOKET ( 2 PIN )		2023A 2K023A 2S060 2023A 2K023A				
S02-054	RENAULT	02 PİN	RENAULT  FAN & HARARET MUSURU - FAN MOTORU -SIS DUY SOKETI **GRİ ***ÇERÇEVESİZ ***(2 PIN)		2011				
S02-055	RENAULT	02 PİN	RENAULT  FAN & HARARET MUSURU - FAN MOTORU -SIS DUY SOKETI ***KAHVE ***ÇERÇEVESİZ ***1,5 MM KABLO ( 2 PIN )		2K011A				
S02-056	RENAULT	02 PİN	FAN MUSURU-SIS DUY SOKETI SIYAH ( 2 PIN )		2011A 2K011A 5097 2S167 2K011				
S02-057	RENAULT	02 PİN	RENAULT  FAN & HARARET MUSURU - FAN MOTORU -SIS DUY SOKETI **YEŞİL ***ÇERÇEVESİZ  ***1 MM KABLO ( 2 PIN )		2K011A				
S02-058	RENAULT	02 PİN	RENAULT GERİ VİTES & FAN MÜŞÜRÜ & SİS DUY SOKETİ *****SİYAH ****ÇERÇEVELİ (2 PİN)		2011 2S165 2011				
S02-059	RENAULT	02 PİN	RENAULT GERİ VİTES & FAN MÜŞÜRÜ & SİS DUY SOKETİ *****YEŞİL ****ÇERÇEVELİ (2 PİN)		2010 2K010 2S166 2010 2K010				
S02-060	RENAULT FIAT  OPEL	02 PİN	FIAT/OPEL/RENAULT  KLİMA FAN MOTOR SOKETI ( 2 PIN )		2K016 5513A 2S027 2016				
S02-061		02 PİN	SOKET (2 PIN)		2016 2K016				
S02-062		02 PİN	SOKET (2 PIN)		2016B				
S02-063		02 PİN	SOKET (2 PIN)		2017A				
S02-064	RENAULT  PEUGEOT             PMC	02 PİN	PEUGEOT/RENAULT DIREKSIYON POMPA+FAN MOTOR SOKETI ( 2 PIN )		2031 2K031ÇİN 2S023 2031 2K031				
S02-065	FIAT PEUGEOT	02 PİN	FİAT / PEUGEOT FAN MOTOR SOKETI GATE TIPI ( 2 PIN )		2017 2K017 5784 2S034 2017 2K017				
S02-066	FIAT  OPEL	02 PİN	FAN MOTOR SOKETI ( 2 PIN ) FIAT LİNEA 500C  ***SİYAH		2017S 5784A				
S02-067	FIAT	02 PİN	FAN MOTOR SOKETİ (2PİN) FIAT LINEA 500C ***MAVİ		2017M 5784B				
S02-068	VOLKSWAGEN   FORD	02 PİN	FORD / VOLKSWAGEN FAN MOTOR SOKETI ( 2 PIN )		2048 2K048 2142 2S040 2048 2K048				
S02-069	FIAT  OPEL	02 PİN	FIAT / OPEL FAN MÜŞÜR SOKETİ & FIAT FAN MOTOR SOKETI ( 2 PIN )		2000 2K000 5089 2S035 2000 2K000				
S02-070	FIAT  OPEL	02 PİN	FİAT DİSTRİBÜTÖR / OPEL FAN MUSURU SOKETI KARSILIGI ( 2 PIN )		2000E 2K000E 5089B 2S036 2000E 2K000E				
S02-071	FORD	02 PİN	FORD FIESTA  FAN REZİSTANS SOKETI ( 2 PIN )		2047 2K047 4074 2S029 2047 2K047				
S02-072	TOYOTA HYUNDAI	02 PİN	JAPON FAN MOTOR SOKETI ( 2 PIN )		2076 2K076 2S030 2076				
S02-073	FORD	02 PİN	FORD FAN REZISTANS SOKETI ( 2 PIN )		2050 2K050 2050 2S033 2050 2K050				
S02-074	HYUNDAI	02 PİN	JAPON PARK SİNYAL -FAN MOTOR-MUSUR SOKETI ( 2 PIN )		2006 2K006 2006 2S123 2006 2K006				
S02-075		02 PİN	FAN MOTOR-MUSUR-SİNYAL SOKETI KARSILIGI ( 2 PIN )		2006E 2K007 2007 2K006E				
S02-076	FIAT      FORD	02 PİN	FORD FIAT FAN MOTOR SOKETI ( 2 PIN ) OVAL		2051A 2K051A 2057 2S019 2051A				
S02-077	FIAT  OPEL    FORD	02 PİN	FAN MOTOR SOKETI ( 2 PIN ) FORD/FIAT/OPEL		2051C 2K051C 2040 2S022				
S02-078	RENAULT  PEUGEOT             PMC	02 PİN	DACIA/PEUGEOT/RENAULT DIREKSIYON POMPA SOKET ( 2 PIN ) YM ***KİLİTSİZ						
S02-079	PMC	02 PİN	DIREKSIYON POMPA SOKET ( 2 PIN ) YM ***KILITLI		2059 2K059 5153 2S025 2059 2K059				
S02-080	VOLVO  PMC	02 PİN	VOLVO DİREKSİYON POMPA SOKETİ (2 PİN)		2051B 2K051B 2051 2S021				
S02-081	VOLVO  PMC	02 PİN	VOLVO DIREKSIYON POMPA SOKETI ( 2 PIN )		2051D				
S02-082	FORD        PMC	02 PİN	FORD DIREKSIYON POMPA SOKETI ***KABLOLU GRI ( 2 PIN )		2051 2K051 2051 2S020 2051 2K051				
S02-083	FIAT  OPEL  BMW	02 PİN	FİAT & BMW ABS SENSÖR SOKETİ (2 PİN)		2035 2K035 2035 2K035				
S02-084	FIAT    BMW	02 PİN	FIAT & BMW ABS SENSOR SOKETI ( 2 PIN )		9780 2S133				
S02-085	FIAT    BMW	02 PİN	FİAT & BMW ABS SENSÖR SOKETİ (2 PİN)		2035A				
S02-086	FIAT    BMW	02 PİN	FİAT & BMW ABS SENSÖR SOKETİ (2 PİN)		2035B				
S02-087	FIAT    BMW	02 PİN	FİAT & BMW ABS SENSOR SOKETI ***KARŞILIĞI ( 2 PIN )		2035E				
S02-088	VOLKSWAGEN	02 PİN	SENSOR SOKETI ORTA TIRNAK ( 2 PIN )		2039A 2K039 2S129 2039 2K039A				
